_Concept	_Subconcept	_s	_Grades	_Standard	_Identifier	_Practice(s)
Data & Analysis	Storage	*	09+	Evaluate the tradeoffs in how data elements are organized and where data is stored.	3A-DA-10	Computational Problems
Data & Analysis	Storage	*	09+	Translate between different bit representations of real-world phenomena, such as characters, numbers, and images.	3A-DA-09	Abstraction
Impacts of Computing	Culture	*	00+	Compare how people live and work before and after the implementation or adoption of new computing technology.	1A-IC-16	Communicating
Impacts of Computing	Culture	*	03+	Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.	1B-IC-19	Inclusion
Impacts of Computing	Culture	*	03+	Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.	1B-IC-18	Computational Problems
Impacts of Computing	Culture	*	06+	Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.	2-IC-20	Communicating
Impacts of Computing	Culture	*	06+	Discuss issues of bias and accessibility in the design of existing technologies.	2-IC-21	Inclusion
Impacts of Computing	Culture	*	09+	Demonstrate ways a given algorithm applies to problems across disciplines.	3A-IC-26	Computational Problems
Impacts of Computing	Culture	*	09+	Evaluate the ways computing impacts personal, ethical, social, economic, and cultural practices.	3A-IC-24	Inclusion
Impacts of Computing	Culture	*	09+	Test and refine computational artifacts to reduce bias and equity deficits.	3A-IC-25	Inclusion
Impacts of Computing	Culture	*	11+	Evaluate computational artifacts to maximize their beneficial effects and minimize harmful effects on society.	3B-IC-25	Testing, Inclusion
Impacts of Computing	Culture	*	11+	Evaluate the impact of equity, access, and influence on the distribution of computing resources in a global society.	3B-IC-26	Inclusion
Impacts of Computing	Culture	*	11+	Predict how computational innovations that have revolutionized aspects of our culture might evolve.	3B-IC-27	Communicating
Impacts of Computing	Safety Law & Ethics	*	00+	Keep login information private, and log off of devices appropriately.	1A-IC-18	Communicating
Impacts of Computing	Safety Law & Ethics	*	03+	Use public domain or creative commons media, and refrain from copying or using material created by others without permission.	1B-IC-21	Communicating
Impacts of Computing	Safety Law & Ethics	*	06+	Describe tradeoffs between allowing information to be public and keeping information private and secure.	2-IC-23	Communicating
Impacts of Computing	Safety Law & Ethics	*	09+	Evaluate the social and economic implications of privacy in the context of safety, law, or ethics.	3A-IC-30	Communicating
Impacts of Computing	Safety Law & Ethics	*	09+	Explain the beneficial and harmful effects that intellectual property laws can have on innovation.	3A-IC-28	Communicating
Impacts of Computing	Safety Law & Ethics	*	09+	Explain the privacy concerns related to the collection and generation of data through automated processes that may not be evident to users.	3A-IC-29	Communicating
Impacts of Computing	Safety Law & Ethics        	*	11+	Debate laws and regulations that impact the development and use of software.	3B-IC-28	Computational Problems, Communicating
Impacts of Computing	Social Interactions	*	00+	Work respectfully and responsibly with others online.	1A-IC-17	Collaborating
Impacts of Computing	Social Interactions	*	03+	Seek diverse perspectives for the purpose of improving computational artifacts.	1B-IC-20	Inclusion
Impacts of Computing	Social Interactions	*	06+	Collaborate with many contributors through strategies such as crowdsourcing or surveys when creating a computational artifact.	2-IC-22	Collaborating, Creating
Impacts of Computing	Social Interactions	*	09+	Use tools and methods for collaboration on a project to increase connectivity of people in different cultures and career fields.	3A-IC-27	Collaborating
Networks & the Internet	Cybersecurity	*	00+	Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access.	1A-NI-04	Communicating
Networks & the Internet	Cybersecurity	*	03+	Discuss real-world cybersecurity problems and how personal information can be protected.	1B-NI-05	Computational Problems
Networks & the Internet	Cybersecurity	*	06+	Apply multiple methods of encryption to model the secure transmission of information.	2-NI-06	Abstraction
Networks & the Internet	Cybersecurity	*	06+	Explain how physical and digital security measures protect electronic information.	2-NI-05	Communicating
Networks & the Internet	Cybersecurity	*	09+	Explain tradeoffs when selecting and implementing cybersecurity recommendations.	3A-NI-08	Communicating
Networks & the Internet	Cybersecurity	*	09+	Recommend security measures to address various scenarios based on factors such as efficiency, feasibility, and ethical impacts.	3A-NI-06	Computational Problems
Networks & the Internet	Cybersecurity	*	11+	Compare ways software developers protect devices and information from unauthorized access.	3B-NI-04	Communicating
Networks & the Internet	Network Communication & Organization	*	03+	Model how information is broken down into smaller pieces, transmitted as packets through multiple devices over networks and the Internet, and reassembled at the destination.	1B-NI-04	Abstraction 
Networks & the Internet	Network Communication & Organization	*	06+	Model the role of protocols in transmitting data across networks and the Internet.	2-NI-04	Abstraction
Networks & the Internet	Network Communication & Organization	*	09+	Compare various security measures, considering tradeoffs between the usability and security of a computing system.	3A-NI-07	Testing
Networks & the Internet	Network Communication & Organization	*	09+	Evaluate the scalability and reliability of networks, by describing the relationship between routers, switches, servers, topology, and addressing.	3A-NI-04	Abstraction
Networks & the Internet	Network Communication & Organization	*	09+	Give examples to illustrate how sensitive data can be affected by malware and other attacks.	3A-NI-05	Communicating
Networks & the Internet	Network Communication & Organization	*	11+	Describe the issues that impact network functionality (e.g., bandwidth, load, delay, topology).	3B-NI-03	Communicating
